psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
703.0,property,THEFT/OTHER,evening,others,7.0,8.0,2023,7.0,Friday,38.8579243739,-76.9875985985
503.0,property,MOTOR VEHICLE THEFT,midnight,others,5.0,5.0,2023,7.0,Sunday,38.9232652457,-76.9517812083
308.0,property,BURGLARY,day,others,3.0,2.0,2023,7.0,Monday,38.9134807346,-77.0208795434
407.0,property,MOTOR VEHICLE THEFT,evening,others,4.0,4.0,2023,8.0,Tuesday,38.9522417079,-77.014674839
105.0,violent,ASSAULT W/DANGEROUS WEAPON,midnight,gun,1.0,6.0,2023,8.0,Tuesday,38.8724927689,-77.0151505874
605.0,violent,ROBBERY,midnight,gun,6.0,7.0,2023,8.0,Wednesday,38.8795003584,-76.9631087859
203.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,6.0,Wednesday,38.936186926,-77.0588812982
503.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,6.0,Friday,38.9185201178,-76.9586145699
505.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,7.0,Tuesday,38.9215811022,-76.9937613603
303.0,property,THEFT F/AUTO,evening,others,3.0,1.0,2023,6.0,Thursday,38.9182560403,-77.0444469113
106.0,property,THEFT F/AUTO,evening,others,1.0,6.0,2023,8.0,Wednesday,38.8842732041,-77.0058902996
203.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,8.0,Saturday,38.9361950358,-77.0588766912
302.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,8.0,Sunday,38.9337270904,-77.0412896466
401.0,property,THEFT/OTHER,evening,others,4.0,4.0,2023,7.0,Monday,38.993565005,-77.038989342
105.0,property,MOTOR VEHICLE THEFT,evening,others,1.0,6.0,2023,8.0,Sunday,38.8764603948,-77.0164073893
209.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,8.0,Monday,38.8952349608,-77.0288635145
405.0,property,THEFT F/AUTO,midnight,others,4.0,5.0,2023,8.0,Saturday,38.9509544326,-76.9886190777
404.0,property,THEFT/OTHER,midnight,others,4.0,4.0,2023,8.0,Friday,38.9373434803,-77.0327301113
101.0,property,THEFT F/AUTO,day,others,1.0,2.0,2023,7.0,Thursday,38.9014778676,-77.0239860552
604.0,property,THEFT/OTHER,evening,others,6.0,7.0,2023,5.0,Friday,38.8798904629,-76.9348955863
